Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
N_operations_naive,1,7,34,34,145,145,148,148,595,595,598,598,613,613,616
N_operations_karatsuba,1,9,39,39,135,135,141,141,435,435,441,441,465,465,471
