Alpha,1.0,0.5,0.25,0.125,0.0625,0.03125
Chain,0.325,0.11875,0.04375,0.025,0.00625,0.0
Open Addressing, 1.05, 0.2, 0.08125, 0.0625, 0.0, 0.00625
